date_sick_year,date_sick_biweek,province,cases,date_delivered_year,date_delivered_biweek
1968,9,20,2.35287480689399,1968,0
1968,9,21,0.12744651797939,1968,0
1968,9,22,2.44404445537175,1968,0
1968,9,23,0,1968,0
1968,9,24,0.00364132908513093,1968,0
1968,9,25,0.0473709159519621,1968,0
1968,9,26,0.0637232589896951,1968,0
1968,9,30,3.79632551177561,1968,0
1968,9,31,1.77604475812677,1968,0
1968,9,32,0,1968,0
1968,9,33,0.0637232589896951,1968,0
1968,9,34,0,1968,0
1968,9,35,0,1968,0
1968,9,36,0,1968,0
1968,9,40,0,1968,0
1968,9,41,0,1968,0
1968,9,42,0,1968,0
1968,9,43,0,1968,0
1968,9,44,0,1968,0
1968,9,45,0,1968,0
1968,9,46,0,1968,0
1968,9,47,1.91169776969085,1968,0
1968,9,48,0.0637232589896951,1968,0
1968,9,50,0,1968,0
1968,9,51,0,1968,0
1968,9,52,0,1968,0
1968,9,53,0,1968,0
1968,9,54,0.429671644064155,1968,0
1968,9,55,0,1968,0
1968,9,56,0,1968,0
1968,9,57,0.0265399028082986,1968,0
1968,9,58,0,1968,0
1968,9,60,8.91331939302436,1968,0
1968,9,61,2.23443938654943,1968,0
1968,9,62,0,1968,0
1968,9,63,0,1968,0
1968,9,64,0.0270331053418136,1968,0
1968,9,65,0,1968,0
1968,9,66,0,1968,0
1968,9,67,0,1968,0
1968,9,70,1.4305903569221,1968,0
1968,9,71,0,1968,0
1968,9,72,0.00364132908513115,1968,0
1968,9,73,2.08842436483333,1968,0
1968,9,74,0,1968,0
1968,9,75,0.191169776969085,1968,0
1968,9,76,0,1968,0
1968,9,77,22.8628315207703,1968,0
1968,9,80,0,1968,0
1968,9,81,0,1968,0
1968,9,82,0,1968,0
1968,9,83,0.225762403275318,1968,0
1968,9,84,0,1968,0
1968,9,85,0.225762403275318,1968,0
1968,9,86,0,1968,0
1968,9,90,0,1968,0
1968,9,91,0,1968,0
1968,9,92,0,1968,0
1968,9,93,0,1968,0
1968,9,94,0,1968,0
1968,9,95,0,1968,0
1968,9,96,0,1968,0
1968,10,10,17.3765640304458,1968,0
1968,10,11,0.688211197089753,1968,0
1968,10,12,0.542535215797792,1968,0
1968,10,13,0,1968,0
1968,10,14,1.20823930463462,1968,0
1968,10,15,4.4991706798481,1968,0
1968,10,16,2.41922495896386,1968,0
1968,10,17,4.8022879951289,1968,0
1968,10,18,6.07714636787329,1968,0
1968,10,19,3.25488330188774,1968,0
1968,10,20,4.38543105854709,1968,0
1968,10,21,1.21256258534571,1968,0
1968,10,22,4.95998804665353,1968,0
1968,10,23,0,1968,0
1968,10,24,0.229403732363251,1968,0
1968,10,25,0.503707504527304,1968,0
1968,10,26,0.606281292672853,1968,0
1968,10,30,10.6479286910841,1968,0
1968,10,31,8.53725961099627,1968,0
1968,10,32,0,1968,0
1968,10,33,0.606281292672853,1968,0
1968,10,34,0,1968,0
1968,10,35,0,1968,0
1968,10,36,0,1968,0
1968,10,40,0,1968,0
1968,10,41,0,1968,0
1968,10,42,0,1968,0
1968,10,43,0,1968,0
1968,10,44,0,1968,0
1968,10,45,0,1968,0
1968,10,46,0,1968,0
1968,10,47,18.1884387801856,1968,0
1968,10,48,0.606281292672853,1968,0
1968,10,50,0,1968,0
1968,10,51,0,1968,0
1968,10,52,0,1968,0
1968,10,53,0,1968,0
1968,10,54,0.966392623305026,1968,0
1968,10,55,0,1968,0
1968,10,56,0,1968,0
1968,10,57,0.373040240262798,1968,0
1968,10,58,0,1968,0
1968,10,60,4.37019254131705,1968,0
1968,10,61,13.4782707793886,1968,0
1968,10,62,0,1968,0
1968,10,63,0,1968,0
1968,10,64,0.376133965245749,1968,0
1968,10,65,0,1968,0
1968,10,66,0,1968,0
1968,10,67,0,1968,0
1968,10,70,5.54406769467282,1968,0
1968,10,71,0,1968,0
1968,10,72,0.229403732363251,1968,0
1968,10,73,2.45798384183491,1968,0
1968,10,74,0,1968,0
1968,10,75,1.81884387801856,1968,0
1968,10,76,0,1968,0
1968,10,77,39.7810873822409,1968,0
1968,10,80,0,1968,0
1968,10,81,0,1968,0
1968,10,82,0,1968,0
1968,10,83,0,1968,0
1968,10,84,0,1968,0
1968,10,85,0,1968,0
1968,10,86,0,1968,0
1968,10,90,0,1968,0
1968,10,91,0,1968,0
1968,10,92,0,1968,0
1968,10,93,0,1968,0
1968,10,94,0,1968,0
1968,10,95,0,1968,0
1968,10,96,0,1968,0
1968,11,10,39.0038584646437,1968,0
1968,11,11,3.17624416584695,1968,0
1968,11,12,0.437617932117649,1968,0
1968,11,13,0,1968,0
1968,11,14,1.96081552011032,1968,0
1968,11,15,8.57009861416092,1968,0
1968,11,16,6.74946768803973,1968,0
1968,11,17,4.67951640747889,1968,0
1968,11,18,5.27550985927626,1968,0
1968,11,19,4.05294656103067,1968,0
1968,11,20,4.08650834863561,1968,0
1968,11,21,0.659990896674903,1968,0
1968,11,22,5.90421836673218,1968,0
1968,11,23,0,1968,0
1968,11,24,1.04066125999946,1968,0
1968,11,25,0.50754236694323,1968,0
1968,11,26,0.329995448337451,1968,0
1968,11,30,18.0349683508802,1968,0
1968,11,31,9.73483485085532,1968,0
1968,11,32,0,1968,0
1968,11,33,0.329995448337451,1968,0
1968,11,34,0,1968,0
1968,11,35,0,1968,0
1968,11,36,0.0336822940364294,1968,0
1968,11,40,0.00273099681372528,1968,0
1968,11,41,0.0168411470182148,1968,0
1968,11,42,0,1968,0
1968,11,43,0,1968,0
1968,11,44,0.0211943026082209,1968,0
1968,11,45,0.00136549840686273,1968,0
1968,11,46,0,1968,0
1968,11,47,9.89986345012354,1968,0
1968,11,48,0.329995448337451,1968,0
1968,11,50,0.0168411470182147,1968,0
1968,11,51,0,1968,0
1968,11,52,0,1968,0
1968,11,53,0.0168411470182147,1968,0
1968,11,54,0.953136785585631,1968,0
1968,11,55,0,1968,0
1968,11,56,0,1968,0
1968,11,57,0.749782700041287,1968,0
1968,11,58,0,1968,0
1968,11,60,4.30878907406452,1968,0
1968,11,61,14.9870754937798,1968,0
1968,11,62,0.0168411470182147,1968,0
1968,11,63,0.00991561885353117,1968,0
1968,11,64,0.743169328848683,1968,0
1968,11,65,0.0129056938065882,1968,0
1968,11,66,0.00045516613562088,1968,0
1968,11,67,0,1968,0
1968,11,70,9.5220559492796,1968,0
1968,11,71,0,1968,0
1968,11,72,1.08384170865587,1968,0
1968,11,73,3.52151139893327,1968,0
1968,11,74,0.0168411470182148,1968,0
1968,11,75,0.99271734182608,1968,0
1968,11,76,0,1968,0
1968,11,77,73.9863611708469,1968,0
1968,11,80,0.0821920572287951,1968,0
1968,11,81,0,1968,0
1968,11,82,0,1968,0
1968,11,83,0,1968,0
1968,11,84,0,1968,0
1968,11,85,0,1968,0
1968,11,86,0.00182066454248352,1968,0
1968,11,90,0,1968,0
1968,11,91,0,1968,0
1968,11,92,0,1968,0
1968,11,93,0,1968,0
1968,11,94,0,1968,0
1968,11,95,0,1968,0
1968,11,96,0,1968,0
1968,12,10,66.2258499189903,1968,0
1968,12,11,10.6305863275593,1968,0
1968,12,12,0.180610935427711,1968,0
1968,12,13,0,1968,0
1968,12,14,2.70984049824839,1968,0
1968,12,15,12.0301723660419,1968,0
1968,12,16,13.6668729455809,1968,0
1968,12,17,3.16579870278266,1968,0
1968,12,18,2.23808257853712,1968,0
1968,12,19,3.43073551215439,1968,0
1968,12,20,2.5339799094589,1968,0
1968,12,21,0,1968,0
1968,12,22,6.08892303507299,1968,0
1968,12,23,0,1968,0
1968,12,24,2.97351867249185,1968,0
1968,12,25,0.305052650663993,1968,0
1968,12,26,0,1968,0
1968,12,30,26.1828626522735,1968,0
1968,12,31,7.08448072457665,1968,0
1968,12,32,0,1968,0
1968,12,33,0,1968,0
1968,12,34,0,1968,0
1968,12,35,0,1968,0
1968,12,36,1.08147473828287,1968,0
1968,12,40,0.934000910336765,1968,0
1968,12,41,0.540737369141435,1968,0
1968,12,42,0,1968,0
1968,12,43,0,1968,0
1968,12,44,0.788006939711571,1968,0
1968,12,45,0.467000455168382,1968,0
1968,12,46,0,1968,0
1968,12,47,0,1968,0
1968,12,48,0,1968,0
1968,12,50,0.540737369141435,1968,0
1968,12,51,0,1968,0
1968,12,52,0,1968,0
1968,12,53,0.540737369141435,1968,0
1968,12,54,2.24837861926812,1968,0
1968,12,55,0,1968,0
1968,12,56,0,1968,0
1968,12,57,1.32143858705542,1968,0
1968,12,58,0,1968,0
1968,12,60,7.54061530996093,1968,0
1968,12,61,9.22784334134434,1968,0
1968,12,62,0.540737369141435,1968,0
1968,12,63,0.377987457266714,1968,0
1968,12,64,0.997097502710363,1968,0
1968,12,65,0.593224632867629,1968,0
1968,12,66,0.155666818389461,1968,0
1968,12,67,0,1968,0
1968,12,70,14.652513559983,1968,0
1968,12,71,0,1968,0
1968,12,72,4.42317045855256,1968,0
1968,12,73,4.56879038873085,1968,0
1968,12,74,0.540737369141435,1968,0
1968,12,75,0.934000910336764,1968,0
1968,12,76,0,1968,0
1968,12,77,125.21194619144,1968,0
1968,12,80,3.52618790115467,1968,0
1968,12,81,0,1968,0
1968,12,82,0,1968,0
1968,12,83,0,1968,0
1968,12,84,0,1968,0
1968,12,85,0,1968,0
1968,12,86,0.622667273557843,1968,0
1968,12,90,0,1968,0
1968,12,91,0,1968,0
1968,12,92,0,1968,0
1968,12,93,0,1968,0
1968,12,94,0,1968,0
1968,12,95,0,1968,0
1968,12,96,0,1968,0
1968,13,10,82.2581770262,1968,0
1968,13,11,12.4940343222486,1968,0
